job_id,job_title,company,company_name,company_id,location,job_description,keywords,experience,education,salary,job-time
JOB101344,Product Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,Delhi NCR,"We are looking for a Product Analyst to join CloudMatrix Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",5-8 Years,B.Tech / B.E.,₹10-16 LPA,Part-Time
JOB100918,Data Scientist,Infosphere Analytics,Infosphere Analytics,COM002,"Ahmedabad, Gujarat","We are looking for a Data Scientist to join Infosphere Analytics. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Master's Degree qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,Master's Degree,₹4-7 LPA,Full-Time
JOB102236,Data Engineer,Quantix Analytics,Quantix Analytics,COM009,"Mumbai, Maharashtra","We are looking for a Data Engineer to join Quantix Analytics. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",0-1 Years,Master's Degree,₹6-10 LPA,Remote
JOB101128,BI Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a BI Analyst to join CloudMatrix Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",2-4 Years,Any Graduate,₹4-7 LPA,Contract
JOB102238,Financial Analyst,NextGen Systems,NextGen Systems,COM005,"Ahmedabad, Gujarat","We are looking for a Financial Analyst to join NextGen Systems. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and B.Sc. qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",8+ Years,B.Sc.,₹4-7 LPA,Remote
JOB101660,Business Analyst,BluePeak Digital,BluePeak Digital,COM011,"Hyderabad, Telangana","We are looking for a Business Analyst to join BluePeak Digital. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and BCA qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,BCA,₹6-10 LPA,Internship
JOB101846,Business Analyst,ByteCraft Solutions,ByteCraft Solutions,COM008,"Ahmedabad, Gujarat","We are looking for a Business Analyst to join ByteCraft Solutions. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",3-5 Years,B.Sc.,₹2.5-4 LPA,Part-Time
JOB100066,Python Developer,TechNova Solutions,TechNova Solutions,COM001,"Mumbai, Maharashtra",,"Python, Pandas, NumPy, SQL",2-4 Years,B.Tech / B.E.,₹6-10 LPA,Contract
JOB101113,Financial Analyst,Quantix Analytics,Quantix Analytics,COM009,"Mumbai, Maharashtra","We are looking for a Financial Analyst to join Quantix Analytics. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Master's Degree qualification are preferred.","Spark, Python, SQL, AWS",1-3 Years,Master's Degree,₹5-8 LPA,Internship
JOB101275,Power BI Developer,Aster Technologies,Aster Technologies,COM012,"Hyderabad, Telangana","We are looking for a Power BI Developer to join Aster Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",3-5 Years,B.Sc.,₹5-8 LPA,Part-Time
JOB100539,Data Scientist,DataBridge Labs,DataBridge Labs,COM004,Remote,"We are looking for a Data Scientist to join DataBridge Labs. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and B.Sc. qualification are preferred.",,1-3 Years,B.Sc.,₹6-10 LPA,Full-Time
JOB101376,Data Scientist,Infosphere Analytics,Infosphere Analytics,COM002,Remote,"We are looking for a Data Scientist to join Infosphere Analytics. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","Excel, Power BI, SQL, Data Visualization",0-1 Years,MBA,₹2.5-4 LPA,Contract
JOB100939,SQL Developer,TechNova Solutions,TechNova Solutions,COM001,Delhi NCR,"We are looking for a SQL Developer to join TechNova Solutions. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,MBA,₹10-16 LPA,Part-Time
JOB101617,BI Analyst,BluePeak Digital,BluePeak Digital,COM011,"Hyderabad, Telangana","We are looking for a BI Analyst to join BluePeak Digital. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Master's Degree qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",1-3 Years,Master's Degree,₹5-8 LPA,Full-Time
JOB101874,Business Analyst,NextGen Systems,NextGen Systems,COM005,"Ahmedabad, Gujarat","We are looking for a Business Analyst to join NextGen Systems. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Bachelor's Degree qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",0-1 Years,Bachelor's Degree,₹2.5-4 LPA,Internship
JOB101346,Junior Data Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Pune, Maharashtra","We are looking for a Junior Data Analyst to join CloudMatrix Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and BCA qualification are preferred.","Java, Spring Boot, SQL, REST API",0-1 Years,BCA,₹4-7 LPA,Remote
JOB100798,Junior Data Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"Noida, Uttar Pradesh","We are looking for a Junior Data Analyst to join FinEdge Technologies. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and MBA qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",8+ Years,MBA,,Internship
JOB101098,Python Developer,NextGen Systems,NextGen Systems,COM005,"Gurugram, Haryana","We are looking for a Python Developer to join NextGen Systems. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and MBA qualification are preferred.","Java, Spring Boot, SQL, REST API",1-3 Years,MBA,₹3-5 LPA,Remote
JOB101582,AI Engineer,Quantix Analytics,Quantix Analytics,COM009,"Ahmedabad, Gujarat","We are looking for a AI Engineer to join Quantix Analytics. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,B.Tech / B.E.,₹8-12 LPA,Remote
JOB100371,BI Analyst,innovexa pvt ltd,Innovexa Pvt Ltd,COM010,Remote,"We are looking for a BI Analyst to join Innovexa Pvt Ltd. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",2-4 Years,B.Tech / B.E.,₹4-7 LPA,Part-Time
JOB100980,Software Engineer,NextGen Systems,NextGen Systems,COM005,"Noida, Uttar Pradesh","We are looking for a Software Engineer to join NextGen Systems. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and MBA qualification are preferred.","Python, SQL, AWS, ETL",5-8 Years,MBA,₹5-8 LPA,Part-Time
JOB100913,Business Analyst,InsightWorks,InsightWorks,COM007,"Chennai, Tamil Nadu","We are looking for a Business Analyst to join InsightWorks. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Bachelor's Degree qualification are preferred.","SQL, Power BI, Excel, DAX",5-8 Years,Bachelor's Degree,₹8-12 LPA,Remote
JOB101570,Software Engineer,FinEdge Technologies,FinEdge Technologies,COM006,"Ahmedabad, Gujarat","We are looking for a Software Engineer to join FinEdge Technologies. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",5-8 Years,Any Graduate,₹4-7 LPA,Remote
JOB101079,AI Engineer,BluePeak Digital,BluePeak Digital,COM011,"Pune, Maharashtra","We are looking for a AI Engineer to join BluePeak Digital. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Bachelor's Degree qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",8+ Years,Bachelor's Degree,₹5-8 LPA,Contract
JOB102049,Business Analyst,BluePeak Digital,BluePeak Digital,COM011,Delhi NCR,"We are looking for a Business Analyst to join BluePeak Digital. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Bachelor's Degree qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",0-1 Years,Bachelor's Degree,₹4-7 LPA,Part-Time
JOB100803,SQL Developer,Infosphere Analytics,Infosphere Analytics,COM002,"Mumbai, Maharashtra","We are looking for a SQL Developer to join Infosphere Analytics. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and BCA qualification are preferred.","Python, Pandas, NumPy, SQL",0-1 Years,BCA,₹6-10 LPA,Full-Time
JOB102493,ML Engineer,Infosphere Analytics,Infosphere Analytics,COM002,Remote,"We are looking for a ML Engineer to join Infosphere Analytics. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and MBA qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",1-3 Years,MBA,₹5-8 LPA,Full-Time
JOB100514,SQL Developer,ByteCraft Solutions,ByteCraft Solutions,COM008,"Pune, Maharashtra","We are looking for a SQL Developer to join ByteCraft Solutions. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Master's Degree qualification are preferred.","Python, Pandas, NumPy, SQL",1-3 Years,Master's Degree,₹4-7 LPA,Full-Time
JOB102384,AI Engineer,BluePeak Digital,BluePeak Digital,COM011,"Mumbai, Maharashtra","We are looking for a AI Engineer to join BluePeak Digital. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and MBA qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",2-4 Years,MBA,₹10-16 LPA,Contract
JOB100202,SQL Developer,InsightWorks,InsightWorks,COM007,"Ahmedabad, Gujarat","We are looking for a SQL Developer to join InsightWorks. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and B.Sc. qualification are preferred.","Java, Spring Boot, SQL, REST API",0-1 Years,B.Sc.,₹5-8 LPA,Contract
JOB101568,Data Analyst,Infosphere Analytics,Infosphere Analytics,COM002,"Noida, Uttar Pradesh","We are looking for a Data Analyst to join Infosphere Analytics. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and BCA qualification are preferred.","SQL, Power BI, Excel, DAX",1-3 Years,BCA,₹2.5-4 LPA,Full-Time
JOB102139,ML Engineer,Infosphere Analytics,Infosphere Analytics,COM002,"Nashik, Maharashtra","We are looking for a ML Engineer to join Infosphere Analytics. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and B.Sc. qualification are preferred.","Python, SQL, AWS, ETL",0-1 Years,B.Sc.,₹10-16 LPA,Full-Time
JOB101650,SQL Developer,CloudMatrix Technologies,CloudMatrix Technologies,COM003,Delhi NCR,"We are looking for a SQL Developer to join CloudMatrix Technologies. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and B.Sc. qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",8+ Years,B.Sc.,₹3-5 LPA,Internship
JOB100624,Business Analyst,Infosphere Analytics,Infosphere Analytics,COM002,Delhi NCR,"We are looking for a Business Analyst to join Infosphere Analytics. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",8+ Years,Master's Degree,₹10-16 LPA,Full-Time
JOB102380,BI Analyst,InsightWorks,InsightWorks,COM007,"Nashik, Maharashtra","We are looking for a BI Analyst to join InsightWorks. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and B.Sc. qualification are preferred.","Java, Spring Boot, SQL, REST API",8+ Years,B.Sc.,₹3-5 LPA,Internship
JOB100100,Business Analyst,Innovexa Pvt Ltd,Innovexa Pvt Ltd,COM010,"Nagpur, Maharashtra","We are looking for a Business Analyst to join Innovexa Pvt Ltd. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Master's Degree qualification are preferred.","Java, Spring Boot, SQL, REST API",8+ Years,Master's Degree,₹2.5-4 LPA,Part-Time
JOB100073,SQL Developer,Quantix Analytics,Quantix Analytics,COM009,"Pune, Maharashtra","We are looking for a SQL Developer to join Quantix Analytics. The candidate should have experience with Python, TensorFlow, NLP, Machine Learning. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Sc. qualification are preferred.","Python, TensorFlow, NLP, Machine Learning",2-4 Years,B.Sc.,₹3-5 LPA,Internship
JOB100366,Software Engineer,InsightWorks,InsightWorks,COM007,"Hyderabad, Telangana","We are looking for a Software Engineer to join InsightWorks. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and BCA qualification are preferred.","Java, Spring Boot, SQL, REST API",1-3 Years,BCA,₹4-7 LPA,Part-Time
JOB102364,Power BI Developer,InsightWorks,InsightWorks,COM007,"Hyderabad, Telangana","We are looking for a Power BI Developer to join InsightWorks. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and BCA qualification are preferred.","Java, Spring Boot, SQL, REST API",3-5 Years,BCA,₹5-8 LPA,Full-Time
JOB101019,  ai engineer ,Infosphere Analytics,Infosphere Analytics,COM002,"Mumbai, Maharashtra","We are looking for a AI Engineer to join Infosphere Analytics. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and B.Tech / B.E. qualification are preferred.","SQL, Power BI, Excel, DAX",5-8 Years,B.Tech / B.E.,₹5-8 LPA,Remote
JOB101492,Data Analyst,Infosphere Analytics,Infosphere Analytics,COM002,"Mumbai, Maharashtra","We are looking for a Data Analyst to join Infosphere Analytics. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Master's Degree qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",8+ Years,Master's Degree,₹5-8 LPA,Internship
JOB100771,Product Analyst,ByteCraft Solutions,ByteCraft Solutions,COM008,Remote,"We are looking for a Product Analyst to join ByteCraft Solutions. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and MBA qualification are preferred.","Spark, Python, SQL, AWS",3-5 Years,MBA,₹10-16 LPA,Full-Time
JOB102273,AI Engineer,Innovexa Pvt Ltd,Innovexa Pvt Ltd,COM010,"Gurugram, Haryana","We are looking for a AI Engineer to join Innovexa Pvt Ltd. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",3-5 Years,Master's Degree,₹10-16 LPA,Part-Time
